VALUE, SEQ, DICHO
623, 0.00926, 0.00000
624, 0.00540, 0.00000
625, 0.01847, 0.00000
626, 0.02376, 0.00000
627, 0.00680, 0.00000
628, 0.02537, 0.00000
629, 0.01085, 0.00000
630, 0.01901, 0.00000
631, 0.01820, 0.00000
632, 0.00180, 0.00000
633, 0.02552, 0.00010
634, 0.02356, 0.00000
635, 0.02371, 0.00000
636, 0.02874, 0.00000
637, 0.02542, 0.00000
638, 0.02486, 0.00000
639, 0.01425, 0.00000
640, 0.02506, 0.00000
641, 0.02606, 0.00000
642, 0.00100, 0.00000
643, 0.02080, 0.00000
644, 0.02622, 0.00000
645, 0.01501, 0.00000
646, 0.00370, 0.00000
647, 0.00905, 0.00000
648, 0.02436, 0.00000
649, 0.01760, 0.00000
650, 0.02406, 0.00000
651, 0.03561, 0.00000
652, 0.02423, 0.00000
653, 0.02550, 0.00000
654, 0.00275, 0.00000
655, 0.01063, 0.00000
656, 0.02430, 0.00000
657, 0.02476, 0.00000
658, 0.02372, 0.00000
659, 0.00510, 0.00000
660, 0.01221, 0.00010
661, 0.02317, 0.00000
662, 0.02327, 0.00000
663, 0.01195, 0.00000
664, 0.00325, 0.00000
665, 0.01816, 0.00000
666, 0.02410, 0.00000
667, 0.00885, 0.00000
668, 0.01791, 0.00000
669, 0.01232, 0.00000
670, 0.02368, 0.00000
671, 0.02516, 0.00000
672, 0.01095, 0.00000
673, 0.01365, 0.00000
674, 0.02586, 0.00000
675, 0.00665, 0.00000
676, 0.02312, 0.00000
677, 0.00170, 0.00000
678, 0.02537, 0.00000
679, 0.02292, 0.00000
680, 0.00210, 0.00000
681, 0.01365, 0.00000
682, 0.00185, 0.00000
683, 0.02112, 0.00000
684, 0.02262, 0.00000
685, 0.00885, 0.00000
686, 0.02056, 0.00000
687, 0.02481, 0.00000
688, 0.00405, 0.00000
689, 0.00470, 0.00000
690, 0.02418, 0.00000
691, 0.01145, 0.00000
692, 0.01781, 0.00000
693, 0.01849, 0.00000
694, 0.02386, 0.00000
695, 0.01731, 0.00000
696, 0.00590, 0.00000
697, 0.00120, 0.00010
698, 0.01841, 0.00000
699, 0.00260, 0.00010
700, 0.00895, 0.00000
701, 0.02455, 0.00000
702, 0.00530, 0.00000
703, 0.01206, 0.00000
704, 0.00805, 0.00000
705, 0.02396, 0.00000
706, 0.00470, 0.00000
707, 0.02501, 0.00010
708, 0.02270, 0.00000
709, 0.02340, 0.00000
710, 0.00795, 0.00000
711, 0.02200, 0.00010
712, 0.02431, 0.00000
713, 0.00430, 0.00000
714, 0.02211, 0.00000
715, 0.00815, 0.00000
716, 0.02291, 0.00000
717, 0.00495, 0.00000
718, 0.02200, 0.00000
719, 0.01085, 0.00000
720, 0.00605, 0.00000
721, 0.00371, 0.00000
722, 0.02280, 0.00000
723, 0.02316, 0.00000
724, 0.00755, 0.00000
725, 0.02481, 0.00000
726, 0.01533, 0.00000
727, 0.00190, 0.00000
728, 0.02556, 0.00000
729, 0.01848, 0.00000
730, 0.00475, 0.00000
731, 0.00720, 0.00000
732, 0.02496, 0.00000
733, 0.00190, 0.00000
734, 0.00060, 0.00000
735, 0.02291, 0.00000
736, 0.01291, 0.00000
737, 0.02439, 0.00010
738, 0.01861, 0.00000
739, 0.01446, 0.00000
740, 0.02406, 0.00000
741, 0.00756, 0.00000
742, 0.01715, 0.00000
743, 0.02071, 0.00000
744, 0.00455, 0.00000
745, 0.02491, 0.00000
746, 0.00466, 0.00000
747, 0.02490, 0.00000
748, 0.02072, 0.00000
749, 0.00465, 0.00000
750, 0.01485, 0.00000
751, 0.01241, 0.00000
752, 0.01235, 0.00000
753, 0.02080, 0.00000
754, 0.01751, 0.00000
755, 0.00200, 0.00000
756, 0.02509, 0.00000
757, 0.02453, 0.00000
758, 0.02583, 0.00000
759, 0.02131, 0.00000
760, 0.02455, 0.00000
761, 0.00905, 0.00000
762, 0.00570, 0.00000
763, 0.00476, 0.00000
764, 0.00796, 0.00010
765, 0.02290, 0.00000
766, 0.02491, 0.00010
767, 0.00275, 0.00000
768, 0.02562, 0.00000
769, 0.02286, 0.00000
770, 0.00320, 0.00000
771, 0.00020, 0.00000
772, 0.00250, 0.00000
773, 0.02436, 0.00000
774, 0.02491, 0.00000
775, 0.00616, 0.00000
776, 0.02311, 0.00000
777, 0.02321, 0.00000
778, 0.02316, 0.00000
779, 0.02336, 0.00000
780, 0.00646, 0.00000
781, 0.02361, 0.00000
782, 0.02429, 0.00000
783, 0.00986, 0.00000
784, 0.01440, 0.00010
785, 0.00400, 0.00000
786, 0.00406, 0.00000
787, 0.02330, 0.00000
788, 0.00190, 0.00000
789, 0.01390, 0.00000
790, 0.00995, 0.00000
791, 0.02346, 0.00000
792, 0.00170, 0.00000
793, 0.02100, 0.00000
794, 0.01167, 0.00000
795, 0.02395, 0.00000
796, 0.00240, 0.00000
797, 0.02502, 0.00000
798, 0.02292, 0.00000
799, 0.01065, 0.00000
800, 0.01339, 0.00000
801, 0.01045, 0.00000
802, 0.00855, 0.00000
